gene,efficiency
SALALDOAA,1.919523923
SALAMPKA1,1.934554304
SALATP1B1,1.889513622
SALCASP3AB,1.927996078
SALCASP9,2.0093007
SALCAT,1.844710991
SALCHMP5AB,1.863652471
SALCIRBPA,1.890396815
SALCPT1A,2.041567699
SALCS,2.00989056
SALCTSD,1.885654467
SALEF1A,1.960173046
SALFASN,1.773296272
SALGHR,1.889009996
SALGR2,1.866832859
SALGSTP1,2.013451542
SALHS70A,1.95736279
SALHSD11B2,2.041115255
SALHSF1,1.983727236
SALHSP7C,2.027699262
SALHSP90BA,1.877293687
SALHSPA4,2.064839934
SALIGF1,1.790663938
SALIGF2,1.945310842
SALIGFBP1,1.896862664
SALLDHB,1.878101908
SALLIPEAB,2.061563365
SALLPL,2.029074849
SALMMP2,1.862222437
SALMMP9,1.814035936
SALMR,1.796468258
SALMTA,1.98895778
SALMTB,2.040134489
SALNFE2L2A,1.978646442
SALPCK1,2.055856781
SALPDCD10AB,2.028091872
SALPGK,1.937334477
SALRPL13A,1.98112699
SALRPL7,1.919747617
SALRPS9,2.011148559
SALSERPINH1,1.926643711
SALSOD1,2.038495593
SALSOD2,1.939998879
