gene,efficiency
SALALDOAA,2.023449838
SALAMPKA1,1.863551875
SALATP1B1,1.907839425
SALCASP3AB,1.922369242
SALCASP9,1.951851172
SALCAT,1.840378085
SALCHMP5AB,1.753951749
SALCIRBPA,1.914152357
SALCPT1A,2.060519576
SALCS,2.067965556
SALCTSD,1.852571884
SALEF1A,2.300656329
SALFASN,1.75000213
SALGHR,1.927231105
SALGR2,1.90661267
SALGSTP1,2.001765151
SALHS70A,1.978383684
SALHSD11B2,2.017344339
SALHSF1,2.015148787
SALHSP7C,1.996108627
SALHSP90AA,1.910960659
SALHSPA4,2.079992397
SALIGF1,1.882788379
SALIGF2,1.762522409
SALIGFBP1,1.818762402
SALLDHA,2.130714382
SALLDHB,1.937264321
SALLEPR,1.849482395
SALLIPEAB,2.008890694
SALLPL,2.056282121
SALMMP2,1.922264573
SALMMP9,1.89099732
SALMR,1.868020929
SALMTA,1.893557859
SALMTB,2.006355269
SALNFE2L2A,1.932853353
SALPCK1,1.871557996
SALPDCD10AB,2.009597558
SALPGK,1.960509115
SALRPL13A,2.054994635
SALRPL7,1.925307709
SALRPS9,2.02417172
SALSERPINH1,1.930472433
SALSLC2A1A,1.868671992
SALSOD1,1.981921348
SALSOD2,1.955596952
